layer,dep_name,prov_name,type,download_path
ANCASH,ANCASH,AIJA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_aija_simplified.gpkg
ANCASH,ANCASH,ANTONIO RAYMONDI,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_antonio_raymondi.gpkg
ANCASH,ANCASH,ANTONIO RAYMONDI,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_antonio_raymondi_simplified.gpkg
ANCASH,ANCASH,ASUNCION,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_asuncion.gpkg
ANCASH,ANCASH,ASUNCION,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_asuncion_simplified.gpkg
ANCASH,ANCASH,BOLOGNESI,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_bolognesi.gpkg
ANCASH,ANCASH,BOLOGNESI,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_bolognesi_simplified.gpkg
ANCASH,ANCASH,CARHUAZ,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_carhuaz.gpkg
ANCASH,ANCASH,CARHUAZ,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_carhuaz_simplified.gpkg
ANCASH,ANCASH,CARLOS FERMIN FITZCARRALD,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_carlos_fermin_fitzcarrald.gpkg
ANCASH,ANCASH,CARLOS FERMIN FITZCARRALD,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_carlos_fermin_fitzcarrald_simplified.gpkg
ANCASH,ANCASH,CASMA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_casma.gpkg
ANCASH,ANCASH,CASMA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_casma_simplified.gpkg
ANCASH,ANCASH,CORONGO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_corongo.gpkg
ANCASH,ANCASH,CORONGO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_corongo_simplified.gpkg
ANCASH,ANCASH,HUARAZ,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huaraz.gpkg
ANCASH,ANCASH,HUARAZ,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huaraz_simplified.gpkg
ANCASH,ANCASH,HUARI,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huari.gpkg
ANCASH,ANCASH,HUARI,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huari_simplified.gpkg
ANCASH,ANCASH,HUARMEY,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huarmey.gpkg
ANCASH,ANCASH,HUARMEY,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huarmey_simplified.gpkg
ANCASH,ANCASH,HUAYLAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huaylas.gpkg
ANCASH,ANCASH,HUAYLAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_huaylas_simplified.gpkg
ANCASH,ANCASH,MARISCAL LUZURIAGA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_mariscal_luzuriaga.gpkg
ANCASH,ANCASH,MARISCAL LUZURIAGA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_mariscal_luzuriaga_simplified.gpkg
ANCASH,ANCASH,OCROS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_ocros.gpkg
ANCASH,ANCASH,OCROS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_ocros_simplified.gpkg
ANCASH,ANCASH,PALLASCA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_pallasca.gpkg
ANCASH,ANCASH,PALLASCA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_pallasca_simplified.gpkg
ANCASH,ANCASH,POMABAMBA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_pomabamba.gpkg
ANCASH,ANCASH,POMABAMBA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_pomabamba_simplified.gpkg
ANCASH,ANCASH,RECUAY,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_recuay.gpkg
ANCASH,ANCASH,RECUAY,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_recuay_simplified.gpkg
ANCASH,ANCASH,SANTA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_santa.gpkg
ANCASH,ANCASH,SANTA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_santa_simplified.gpkg
ANCASH,ANCASH,SIHUAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_sihuas.gpkg
ANCASH,ANCASH,SIHUAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_sihuas_simplified.gpkg
ANCASH,ANCASH,YUNGAY,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_yungay.gpkg
ANCASH,ANCASH,YUNGAY,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_yungay_simplified.gpkg
APURIMAC,APURIMAC,ABANCAY,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_abancay.gpkg
APURIMAC,APURIMAC,ABANCAY,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_abancay_simplified.gpkg
APURIMAC,APURIMAC,ANDAHUAYLAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_andahuaylas.gpkg
APURIMAC,APURIMAC,ANDAHUAYLAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_andahuaylas_simplified.gpkg
APURIMAC,APURIMAC,ANTABAMBA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_antabamba.gpkg
APURIMAC,APURIMAC,ANTABAMBA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_antabamba_simplified.gpkg
APURIMAC,APURIMAC,AYMARAES,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_aymaraes.gpkg
APURIMAC,APURIMAC,AYMARAES,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_aymaraes_simplified.gpkg
APURIMAC,APURIMAC,CHINCHEROS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_chincheros.gpkg
APURIMAC,APURIMAC,CHINCHEROS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_chincheros_simplified.gpkg
APURIMAC,APURIMAC,COTABAMBAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_cotabambas.gpkg
APURIMAC,APURIMAC,COTABAMBAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_cotabambas_simplified.gpkg
APURIMAC,APURIMAC,GRAU,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_grau.gpkg
APURIMAC,APURIMAC,GRAU,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/apurimac_grau_simplified.gpkg
AREQUIPA,AREQUIPA,AREQUIPA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_arequipa.gpkg
AREQUIPA,AREQUIPA,AREQUIPA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_arequipa_simplified.gpkg
AREQUIPA,AREQUIPA,CAMANA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_camana.gpkg
AREQUIPA,AREQUIPA,CAMANA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_camana_simplified.gpkg
AREQUIPA,AREQUIPA,CARAVELI,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_caraveli.gpkg
