anp_nombre,anp_categoria,download_path
La Niebla Forest,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_niebla_forest.gpkg
La Pampa del Burro,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_pampa_del_burro.gpkg
Lagunas y Paramos de Andinos de San Jose de Tapal,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lagunas_y_paramos_de_andinos_de_san_jose_de_tapal.gpkg
Lakshmi Amazonica,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lakshmi_amazonica.gpkg
Larga Vista I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_larga_vista_i.gpkg
Las Naranjas,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_naranjas.gpkg
Las Panguanas 1,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_1.gpkg
Las Panguanas 2,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_2.gpkg
Las Panguanas 3,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_3.gpkg
Las Panguanas 4,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_4.gpkg
Llamapampa - La Jalca,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_llamapampa_la_jalca.gpkg
Lomas de Atiquipa,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_de_atiquipa.gpkg
Lomas de Quebrada Rio Seco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_de_quebrada_rio_seco.gpkg
Lomas del Cerro Campana,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_del_cerro_campana.gpkg
Los Amigos,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_amigos.gpkg
"Los Bosques de Dotor, Hualtacal, Pueblo Libre, La Jardina y Chorro Blanco",Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_bosques_de_dotor_hualtacal_pueblo_libre_la_jardina_y_chorro_blanco.gpkg
Los Bosques de Overal y Palo Blanco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_bosques_de_overal_y_palo_blanco.gpkg
Los Chilchos,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_chilchos.gpkg
Machusaniaca I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_machusaniaca_i.gpkg
Machusaniaca II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_machusaniaca_ii.gpkg
Mangamanguilla de la Asociacion Agraria Manga Manga de Salitral,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_mangamanguilla_de_la_asociacion_agraria_manga_manga_de_salitral.gpkg
Masheke,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_masheke.gpkg
Matoriato,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_matoriato.gpkg
Misquiyaco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_misquiyaco.gpkg
Naturaleza Viva Ryo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_naturaleza_viva_ryo.gpkg
Ni Meraya,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ni_meraya.gpkg
Nihii Eupa Francisco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_nihii_eupa_francisco.gpkg
Pablito II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pablito_ii.gpkg
Pacllon,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pacllon.gpkg
Palmonte,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_palmonte.gpkg
Pampacorral,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pampacorral.gpkg
Panguana,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_panguana.gpkg
